"Sexe"	"Commune de travail"	"1996 T4"	"1997 T4"	"1998 T4"	"1999 T4"	"2000 T4"	"2001 T4"	"2002 T4"	"2003 T4"	"2004 T4"	"2005 T4"	"2006 T4"	"2007 T4"	"2008 T4"	"2009 T4"	"2010 T4"	"2011 T4"	"2012 T4"	"2013 T4"	"2014 T4"
"Sexe - Total"	"……Saint-Oyens"	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Saubraz"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.0	0.0
"Sexe - Total"	"……Avenches"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	21.4	51.2	54.5	72.1	92.6	94.0	97.2
"Sexe - Total"	"……Cudrefin"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	1.7	3.4	2.5	1.7	1.7	2.5
"Sexe - Total"	"……Faoug"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Vully-les-Lacs"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.0	0.0
"Sexe - Total"	"……Bettens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	3.4	5.9	4.2	0.8
"Sexe - Total"	"……Bournens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Boussens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.8	1.7
"Sexe - Total"	"……La Chaux (Cossonay)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Chavannes-le-Veyron"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Chevilly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5
"Sexe - Total"	"……Cossonay"	1.9	0.9	0.9	0.9	2.8	4.7	5.7	4.7	4.5	5.1	6.0	8.6	12.8	22.2	21.8	17.8	20.4	21.2	21.6
"Sexe - Total"	"……Cottens (VD)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Cuarnens"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1.7
"Sexe - Total"	"……Daillens"	0.0	0.0	0.0	0.0	1.9	1.9	1.9	2.8	5.4	5.1	6.0	9.5	11.1	12.8	15.1	32.2	34.0	33.0	33.2
"Sexe - Total"	"……Dizy"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Eclépens"	20.8	22.7	26.5	24.6	26.4	34.9	40.5	41.5	37.1	36.6	40.3	39.6	44.4	44.4	52.8	49.2	47.6	62.6	75.6
